Generator,bus,carrier,p_nom,control,type,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,marginal_cost_quadratic,build_year,lifetime,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,province,marginal_cost,capital_cost,notes
Recuperadora,111,hydro,14.7,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,14.7,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Sibimbe,56,hydro,15.37,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,15.37,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Alao,82,hydro,10.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.5,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Palmira-_Nanegal,111,hydro,10.44,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.44,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Rio_Verde_Chico,110,hydro,10.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Jivino_II,161,oil,11.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,11.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Victoria,111,hydro,10.32,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.32,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
La_Propicia,186,oil,10.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
El_Carmen,111,hydro,8.4,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,8.4,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Chalpi,111,hydro,8.1,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,8.1,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
San_Jose_de_Tambo,181,hydro,8.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,8.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Ambi,288,hydro,8.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,8.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Celso_Castellanos,161,oil,10.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,10.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Alazan,85,hydro,6.23,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6.23,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Papallacta,111,hydro,6.63,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6.63,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
San_Jose_de_Minas,111,hydro,6.75,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6.75,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Vindobona,111,hydro,6.09,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6.09,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
El_Inga,111,biomass,6.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6.2,,95.0,3000.0,"Assumes CF=0.80, CRF=0.0858, FOM≈4%; aligns with IRENA biomass LCOE ranges."
Jivino_I,161,oil,7.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,7.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Illuchi_No.2,66,hydro,5.2,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,5.2,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Pasochoa,111,hydro,4.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4.5,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Illuchi_No.1,66,hydro,4.19,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4.19,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Macas,51,oil,4.5,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4.5,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Pedernales,291,oil,5.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,5.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Lligua,11,oil,5.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,5.0,,180.0,1100.0,High LCOE due to fuel cost; fuel cost dominates.
Rfo_Blanco,82,hydro,3.03,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3.03,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Penfnsula,11,hydro,3.0,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3.0,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
San_Miguel_de_Car,83,hydro,2.95,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2.95,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
Perlabf,111,hydro,2.7,PQ,,0.0,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0,inf,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2.7,,45.0,2806.0,"Long lifetime (50yr), CF=0.50 → low LCOE consistent with IRENA hydro."
